FULFILL_DATE,CF_ID,CF_NAME,TRANSPORT_MODE,INCOTERM,LOADING_PORT,DISCHARGING_PORT,LOADING_COUNTRY,DISCHARGING_COUNTRY,CLIENT,SUPPLIER,LINE_KEY,id_CARTON,consolidated_fulfillment_CARTON,CUSTRECORD_CARTON_INFO_ITEM,NUMBER_OF_CARTONS,GROSS_WEIGHT_PER_CARTON,WEIGHT_OF_FREIGHT_KG,size_length_CARTON,size_width_CARTON,size_height_CARTON,TOTAL_CBM,cbm_total_CARTON,SHIPPED_QTY,SUB_TRANSPORT_MODE,DISTANCE_TRAVELLED_KM,YEAR
2023-05-31T00:00:00Z,5010,CF-HK-23050237,Sea,DDP,"Zhuhai, China","Rotterdam, Netherlands",China,Netherlands,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1677242262520_43072,9702,5010,9938,997,6.85,6829.45,31,22.6,24.9,0.0174,17.39260518,35892,Sea,18207,2023
2023-05-31T00:00:00Z,5010,CF-HK-23050237,Sea,DDP,"Zhuhai, China","Rotterdam, Netherlands",China,Netherlands,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1677242262520_73723,9701,5010,9934,1111,5.61,6232.71,26,24.2,24.9,0.0157,17.40612588,79992,Sea,18207,2023
2023-05-31T00:00:00Z,5010,CF-HK-23050237,Sea,DDP,"Zhuhai, China","Rotterdam, Netherlands",China,Netherlands,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1677242262520_52574,9700,5010,9931,869,6.85,5952.65,31,22.6,24.9,0.0174,15.15965286,31284,Sea,18207,2023
2023-05-31T00:00:00Z,5010,CF-HK-23050237,Sea,DDP,"Zhuhai, China","Rotterdam, Netherlands",China,Netherlands,DOUGLAS COSMETICS GMBH - S,"Zhongshan Domiline Cosmetics Co., Ltd.",15447_1677242262520_68479,9699,5010,9930,1666,6.85,11412.099999999999,31,22.6,24.9,0.0174,29.06327004,59976,Sea,18207,2023
2023-05-24T00:00:00Z,5012,CF-HK-23050239,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"JINJIANG ZHONGCHENG RAINGEAR CO.,LTD",4804_1678698203743_58692,9706,5012,7778,376,6.4,2406.4,90.1,19,11,0.0188,7.0804184,3008,Sea,18411,2023
2023-05-24T00:00:00Z,5012,CF-HK-23050239,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"JINJIANG ZHONGCHENG RAINGEAR CO.,LTD",4804_1678698203743_33081,9705,5012,7779,376,6.4,2406.4,90.1,19,11,0.0188,7.0804184,3008,Sea,18411,2023
2023-05-24T00:00:00Z,5019,CF-HK-23050246,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"JINJIANG ZHONGCHENG RAINGEAR CO.,LTD",4804_1673417370270_13124,9713,5019,7779,1000,6.4,6400,90.1,19,11,0.0188,18.8309,8000,Sea,18411,2023
2023-06-03T00:00:00Z,5083,CF-HK-23060056,Sea,DDP,"Shanghai, China","Long Beach, United States",China,United States,FabFitFun,"NINGBO RAFFINI IMPORT & EXPORT CO., LTD.",4484_1675335990197_38252,9825,5083,9817,2546,4.2,10693.2,27.5,25,27.5,0.0189,48.1353125,101840,Sea,10571,2023
2023-06-03T00:00:00Z,5097,CF-HK-23060070,Sea,DDP,"Shanghai, China","Long Beach, United States",China,United States,FabFitFun,"NINGBO RAFFINI IMPORT & EXPORT CO., LTD.",4484_1675335990197_12227,9862,5097,9817,95,4.2,399,27.5,25,27.5,0.0189,1.79609375,3800,Sea,10571,2023
2023-06-03T00:00:00Z,5097,CF-HK-23060070,Sea,DDP,"Shanghai, China","Long Beach, United States",China,United States,FabFitFun,"NINGBO RAFFINI IMPORT & EXPORT CO., LTD.",4484_1675335990197_38252,9861,5097,9817,2454,4.2,10306.800000000001,27.5,25,27.5,0.0189,46.3959375,98160,Sea,10571,2023
2023-06-14T00:00:00Z,5131,CF-HK-23060104,Sea,DDP,"Ningbo, China","Antwerp, Belgium",China,Belgium,GROUPE NOCIBE (C4HK),"NINGBO RAFFINI IMPORT & EXPORT CO., LTD.",4484_1678239122452_41115,9969,5131,10005,70,3,210,29,28,18,0.0146,1.02312,5040,Sea,19502,2023
2023-06-16T00:00:00Z,5164,CF-HK-23060137,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676964974360_82604,10020,5164,6130,1695,11.18,18950.1,42,33,28,0.0388,65.77956,847500,Sea,18411,2023
2023-06-16T00:00:00Z,5166,CF-HK-23060139,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676960399698_62153,10022,5166,6131,1751,10.76,18840.76,48,37,18,0.032,55.975968,525300,Sea,18411,2023
2023-06-16T00:00:00Z,5170,CF-HK-23060143,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676964974360_82604,10028,5170,6130,212,11.18,2370.16,42,33,28,0.0388,8.227296,106000,Sea,18411,2023
2023-06-16T00:00:00Z,5174,CF-HK-23060147,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676961669248_41152,10034,5174,6129,1214,3.8,4613.2,40,25,12.5,0.0125,15.175,303500,Sea,18411,2023
2023-06-09T00:00:00Z,5227,CF-HK-23060199,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1679455600724_35261,10170,5227,5308,1116,14.5,16182,34,33,45,0.0505,56.34684,83700,Sea,18411,2023
2023-06-09T00:00:00Z,5229,CF-HK-23060201,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676964631733_59204,10172,5229,6130,1702,11.18,19028.36,42,33,28,0.0388,66.051216,851000,Sea,18411,2023
2023-06-09T00:00:00Z,5231,CF-HK-23060203,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676964631733_59204,10174,5231,6130,205,11.18,2291.9,42,33,28,0.0388,7.95564,102500,Sea,18411,2023
2023-06-25T00:00:00Z,5233,CF-HK-23060205,Sea,DDP,"Ningbo, China","Rotterdam, Netherlands",China,Netherlands,Douglas Cosmetics GmbH,"NINGBO RAFFINI IMPORT & EXPORT CO., LTD.",4484_1678938520284_86373,10176,5233,6225,105,2.9,304.5,38,28,27,0.0287,3.01644,15120,Sea,19492,2023
2023-06-09T00:00:00Z,5235,CF-HK-23060207,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676962034029_54523,10178,5235,6129,1214,3.8,4613.2,40,25,12.5,0.0125,15.175,303500,Sea,18411,2023
2023-06-13T00:00:00Z,5237,CF-HK-23060209,Sea,DDP,"Xiamen, China","Rotterdam, Netherlands",China,Netherlands,Rituals Cosmetic Trade B.V.,"XIAMEN NICE PACKAGING PRODUCTS CO., LTD.",2900_1676961003189_29128,10180,5237,6131,1751,10.76,18840.76,48,37,18,0.032,55.975968,525300,Sea,18411,2023
